h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,target,ymod 1 real,ymod 1 imag,ymod 2 real ,ymod 2 imag,ymod 3 real,ymod 3 imag,ymod 4 real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.474820177,0.599425161,-0.853822191,-0.244127066,-0.181928926,0.108616231,-1.474167425,1.038401084,0.298218723,0.596729246,-0.00535561,0.288989412,0,-0.181928926,0.108616231,0.536322429,0.147477137,-1.474167425,1.038401084,1.041868074,0.142034961,,
0.507164314,0.621829767,1.152750428,-0.278827929,0.536322429,0.147477137,1.041868074,0.142034961,0.092911456,-0.396494881,-0.427637674,-0.097321954,1,-0.181928926,0.108616231,0.536322429,0.147477137,-1.474167425,1.038401084,1.041868074,0.142034961,,
0.3457001,0.19151012,0.731638444,-0.045574374,-1.107616865,-0.125208987,0.617418159,-0.994615458,1.403194099,0.735446443,0.656983142,0.25187107,1,-1.107616865,-0.125208987,-0.581032432,-0.878192933,0.617418159,-0.994615458,2.199631983,0.872557839,,
0.513985407,0.229678234,-0.214565136,1.658130359,-0.581032432,-0.878192933,2.199631983,0.872557839,0.498017571,-0.449051571,-0.084173105,0.783362591,0,-1.107616865,-0.125208987,-0.581032432,-0.878192933,0.617418159,-0.994615458,2.199631983,0.872557839,,
0.207798507,-0.101851481,-0.556693009,-0.283472749,0.990925702,0.13776639,-0.361159741,0.626037581,0.262764137,-1.12542914,-0.048889414,-1.39167226,1,0.990925702,0.13776639,1.521270294,-0.843914311,-0.361159741,0.626037581,-0.066300105,0.200023344,,
0.628190576,0.930203492,-0.811101051,-0.476237641,1.521270294,-0.843914311,-0.066300105,0.200023344,0.416005846,0.608416651,-0.576355013,-0.19974776,0,0.990925702,0.13776639,1.521270294,-0.843914311,-0.361159741,0.626037581,-0.066300105,0.200023344,,
-0.755805549,-0.024853075,-0.572402016,-0.872533927,0.139770764,0.579940494,-1.046271522,-0.233214738,-0.980197737,-0.201709535,0.821691962,0.645898217,0,0.139770764,0.579940494,-0.951661185,-0.729448281,-1.046271522,-0.233214738,-0.076641211,-0.740720392,,
-2.081923297,0.226517746,1.017088459,0.364109664,-0.951661185,-0.729448281,-0.076641211,-0.740720392,-1.281110001,-1.148231324,0.824654306,-0.03686068,0,0.139770764,0.579940494,-0.951661185,-0.729448281,-1.046271522,-0.233214738,-0.076641211,-0.740720392,,
0.229944436,0.402613583,-0.533814934,-0.002840218,-0.519740516,1.102908337,0.119836506,-0.410771233,-0.080715105,-0.383887292,-0.260622044,0.329807055,1,-0.519740516,1.102908337,-0.496204365,-1.138228698,0.119836506,-0.410771233,-1.150048178,0.703796243,,
0.96894739,0.432575666,-1.210224866,-0.346604271,-0.496204365,-1.138228698,-1.150048178,0.703796243,0.697867079,0.849501268,-0.532110285,0.116236592,0,-0.519740516,1.102908337,-0.496204365,-1.138228698,0.119836506,-0.410771233,-1.150048178,0.703796243,,
-0.072296327,-1.221302116,-0.17072884,-0.394060642,1.274847002,0.643104666,0.258616011,0.010336691,0.551902712,-0.845648344,0.689070321,-0.773549928,0,1.274847002,0.643104666,0.1679097,0.256969283,0.258616011,0.010336691,-0.275222314,-0.755298918,,
0.22571325,0.567188189,0.221224435,1.063425127,0.1679097,0.256969283,-0.275222314,-0.755298918,0.039739236,-0.36335392,-0.63536566,0.515261813,0,1.274847002,0.643104666,0.1679097,0.256969283,0.258616011,0.010336691,-0.275222314,-0.755298918,,
-0.611562454,0.650296927,-0.021249475,-0.394033,0.093159331,0.332411989,1.030232398,0.141960731,0.180392847,0.136781937,0.414153109,-0.278227124,0,0.093159331,0.332411989,-0.21376464,-0.555416561,1.030232398,0.141960731,-1.723529343,-0.419767486,,
-0.116587073,0.246533586,0.44385608,-0.769692673,-0.21376464,-0.555416561,-1.723529343,-0.419767486,-0.538075589,-0.786497157,-1.324241906,-0.010238371,1,0.093159331,0.332411989,-0.21376464,-0.555416561,1.030232398,0.141960731,-1.723529343,-0.419767486,,
0.773055568,0.424718762,0.784374671,0.292052504,0.131266741,1.543025005,1.002075413,0.067752567,-0.125445514,0.225628563,0.118159313,-0.197338585,1,0.131266741,1.543025005,-0.434684342,0.698601356,1.002075413,0.067752567,0.395085856,-1.420281365,,
-0.610694767,-1.077835534,0.054701138,-0.219994323,-0.434684342,0.698601356,0.395085856,-1.420281365,-0.148213295,-0.339278562,0.560205772,-0.968985792,0,0.131266741,1.543025005,-0.434684342,0.698601356,1.002075413,0.067752567,0.395085856,-1.420281365,,
-0.858510395,1.157383772,-0.787363925,-1.416011459,-0.001424053,0.587947387,0.736480232,0.169410412,0.242003302,0.151947367,-1.273210477,-0.287256091,0,-0.001424053,0.587947387,-0.730988517,-1.234038386,0.736480232,0.169410412,-0.107438678,0.415082941,,
-0.004843206,-0.463956281,1.083733284,-1.111575156,-0.730988517,-1.234038386,-0.107438678,0.415082941,-0.716159927,-0.446705694,0.055743302,1.156906519,0,-0.001424053,0.587947387,-0.730988517,-1.234038386,0.736480232,0.169410412,-0.107438678,0.415082941,,
-0.544235987,-0.743225565,0.262604477,-1.169412697,-1.53760709,0.043817082,1.148709257,-0.152204737,0.784229027,1.281154558,-0.778274427,0.599379695,1,-1.53760709,0.043817082,0.077351694,-0.339430929,1.148709257,-0.152204737,-0.13759888,-0.551080073,,
-0.159512261,0.261216494,0.790090103,-0.661979175,0.077351694,-0.339430929,-0.13759888,-0.551080073,0.077258644,-1.088745232,-0.12628012,-0.090288867,1,-1.53760709,0.043817082,0.077351694,-0.339430929,1.148709257,-0.152204737,-0.13759888,-0.551080073,,
-0.770084748,0.069495608,0.023021604,0.445672712,0.908687393,1.567615393,0.628151745,0.838241454,0.431060221,0.372302458,0.353731037,0.426586982,0,0.908687393,1.567615393,0.206646963,1.098159657,0.628151745,0.838241454,-0.442177411,-0.602106556,,
0.390695603,-0.227323251,0.778248949,0.443829622,0.206646963,1.098159657,-0.442177411,-0.602106556,0.594116561,0.691420636,0.251523083,0.332095412,1,0.908687393,1.567615393,0.206646963,1.098159657,0.628151745,0.838241454,-0.442177411,-0.602106556,,
