h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,target,ymod1real,ymod1imag,ymod2real ,ymod2imag,ymod3real,ymod3imag,ymod4real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
-0.159512261,0.261216494,0.790090103,-0.661979175,-0.420366514,-0.747913349,0.618087356,1.204700744,0.077258644,-1.088745232,-0.12628012,-0.090288867,0.021771486,-0.306808406,-0.035585738,-0.025443403,0,0.512188272,0.570906767,-0.420366514,-0.747913349,-1.151263091,0.24057001,0.618087356,1.204700744,,
-0.770084748,0.069495608,0.023021604,0.445672712,-0.389735437,0.582185086,-0.18029534,0.427890244,0.431060221,0.372302458,0.353731037,0.426586982,0.12147277,0.104914833,0.099681406,0.120212212,1,-0.389735437,0.582185086,0.325847924,0.803021633,-0.18029534,0.427890244,0.818106924,-0.296877721,,
0.390695603,-0.227323251,0.778248949,0.443829622,0.325847924,0.803021633,0.818106924,-0.296877721,0.594116561,0.691420636,0.251523083,0.332095412,0.167422047,0.194842335,0.070879205,0.093584487,0,-0.389735437,0.582185086,0.325847924,0.803021633,-0.18029534,0.427890244,0.818106924,-0.296877721,,
1.091922703,-0.149646286,0.060762487,-0.203662241,0.873415789,-0.17205736,-0.763428842,-0.766569733,-0.644485314,0.10481022,-1.177545328,-0.132698173,-0.181615961,0.02953552,-0.331832273,-0.037394345,1,0.873415789,-0.17205736,-0.330049421,-1.336594803,-0.763428842,-0.766569733,0.179688952,-0.931253584,,
-1.054713623,0.241903601,-0.524886663,0.692767516,-0.330049421,-1.336594803,0.179688952,-0.931253584,-0.356360213,-1.27135903,0.507874304,-0.585403928,-0.100422308,-0.358268975,0.143118979,-0.164966827,0,0.873415789,-0.17205736,-0.330049421,-1.336594803,-0.763428842,-0.766569733,0.179688952,-0.931253584,,
-0.750651642,-0.242309974,1.662024242,1.164778201,1.285840421,0.174805882,0.221089323,-1.168999091,1.062850495,0.625591839,1.022279544,0.716961597,0.299511269,0.17629178,0.288078375,0.202039778,0,1.285840421,0.174805882,1.224520161,-1.305182781,0.221089323,-1.168999091,-1.48084067,-1.060226749,,
-0.435296265,-0.879817588,0.528970167,-1.502372983,1.224520161,-1.305182781,-1.48084067,-1.060226749,0.385928354,-0.511718773,0.068426333,-0.821511189,0.10875461,-0.14420235,0.019282541,-0.231501853,1,1.285840421,0.174805882,1.224520161,-1.305182781,0.221089323,-1.168999091,-1.48084067,-1.060226749,,
-0.136060434,0.159487678,0.628342458,-1.641241123,-0.192058158,1.47935412,0.348513251,1.38940434,-0.670692032,0.14337788,0.091683979,0.147802558,-0.189001015,0.040403887,0.025836545,0.041650761,0,-0.192058158,1.47935412,0.186032803,-1.189658191,0.348513251,1.38940434,2.879967956,1.823317343,,
-0.540830082,-2.048843395,-0.991553897,-0.114648957,0.186032803,-1.189658191,2.879967956,1.823317343,-0.10018256,0.371867685,1.734528259,0.74385367,-0.028231445,0.104792314,0.488790063,0.209617964,0,-0.192058158,1.47935412,0.186032803,-1.189658191,0.348513251,1.38940434,2.879967956,1.823317343,,
-1.005771662,0.080800013,0.345205224,-0.296283951,-1.540468322,0.553250434,-0.179657104,0.31310523,-0.917967938,0.315901242,-0.521780803,0.749837958,-0.258683365,0.08902097,-0.14703783,0.211304337,1,-1.540468322,0.553250434,-2.180090537,0.049171408,-0.179657104,0.31310523,-0.345509566,0.613650437,,
