target,h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,ymod1real ,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,,,,
0,-0.136060434,-0.500287391,0.628342458,-0.953197644,-0.688724026,0.04530286,-1.400599709,0.534500397,-0.451622148,0.63808855,-0.286294242,0.047565007,-0.688724026,0.04530286,1.987268932,-0.764808624,-1.400599709,0.534500397,0.225556373,-0.605865393,,,,
1,-0.540830082,-1.240478509,-0.991553897,-0.257251779,1.987268932,-0.764808624,0.225556373,-0.605865393,1.692716376,0.522971397,-0.035088769,0.280562512,-0.688724026,0.04530286,1.987268932,-0.764808624,-1.400599709,0.534500397,0.225556373,-0.605865393,,,,
0,-1.005771662,-0.443422424,0.345205224,0.311233228,0.494835106,0.151971223,-0.466611551,-1.746704418,-0.143242799,0.661704532,-0.139677667,-1.596084232,0.494835106,0.151971223,1.75547243,-1.709019198,-0.466611551,-1.746704418,-1.237724359,0.007633953,,,,
1,-0.125423176,-1.062527732,-0.138630751,-0.147244695,1.75547243,-1.709019198,-1.237724359,0.007633953,1.072197345,-0.722750017,-1.2248561,-0.121540912,0.494835106,0.151971223,1.75547243,-1.709019198,-0.466611551,-1.746704418,-1.237724359,0.007633953,,,,
1,1.003603832,-1.064284419,0.206181288,1.279680008,1.50965144,-0.591791454,0.486343937,2.241728084,0.786636858,0.246011028,-0.508608492,0.812064425,1.50965144,-0.591791454,-0.783027156,-1.097173444,0.486343937,2.241728084,1.074964114,-0.089477745,,,,
1,0.139873537,-0.082712096,1.122672793,0.867060689,-0.783027156,-1.097173444,1.074964114,-0.089477745,-0.193298654,-0.452282271,0.478997258,-0.427762427,1.50965144,-0.591791454,-0.783027156,-1.097173444,0.486343937,2.241728084,1.074964114,-0.089477745,,,,
0,-0.568843333,0.349977654,0.492587848,0.642473583,-0.605471385,0.149930422,0.041836201,-0.644940576,-0.662170726,-0.201635045,0.301027272,0.491595118,-0.605471385,0.149930422,-0.866754839,-0.757504774,0.041836201,-0.644940576,-0.411371978,0.8839083,,,,
0,0.590496504,-0.816155965,-0.172332628,0.889226034,-0.866754839,-0.757504774,-0.411371978,0.8839083,-0.052709934,0.075260752,-0.989106118,0.795991273,-0.605471385,0.149930422,-0.866754839,-0.757504774,0.041836201,-0.644940576,-0.411371978,0.8839083,,,,
0,0.152501781,1.027095522,-0.82437615,-1.468527484,-0.560618283,-1.300989092,1.001126484,0.971465008,0.13598095,-0.545838283,0.410397504,0.290715387,-0.560618283,-1.300989092,0.868126366,0.882032071,1.001126484,0.971465008,0.173797565,-2.400516286,,,,
1,-0.811725194,-0.124795864,0.074157623,-0.461091739,0.868126366,0.882032071,0.173797565,-2.400516286,0.451034611,0.273783571,-0.400209445,-1.162489041,-0.560618283,-1.300989092,0.868126366,0.882032071,1.001126484,0.971465008,0.173797565,-2.400516286,,,,
0,0.510710724,0.110686114,1.828218397,-0.601200425,-0.704742438,0.248043128,-0.80688647,1.820031377,-0.011411025,0.20957854,0.440048506,1.230149185,-0.704742438,0.248043128,0.308495026,-0.537065856,-0.80688647,1.820031377,-1.631777413,-0.528060748,,,,
1,-0.471562916,0.197315261,0.132463038,0.422209026,0.308495026,-0.537065856,-1.631777413,-0.528060748,0.377196469,-0.846962046,-0.275305489,-0.45048448,-0.704742438,0.248043128,0.308495026,-0.537065856,-0.80688647,1.820031377,-1.631777413,-0.528060748,,,,
0,-0.058332368,0.173040844,-1.366853613,-0.083683621,-0.97965309,-1.40783287,0.240967839,0.799504522,-0.899204916,-0.71895641,0.192758059,0.798371609,-0.97965309,-1.40783287,0.460801958,-0.87306609,0.240967839,0.799504522,2.808136925,0.44312157,,,,
