h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,Target,ymod1real,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,  BER ,  All  this data is calculated for 0 db
0.229944436,0.402613583,-0.533814934,-0.002840218,-0.893133979,-0.80644367,1.086663823,0.432558704,-0.080715105,-0.383887292,-0.260622044,0.329807055,-0.022745517,-0.108179439,-0.073443292,0.092939628,0,-0.893133979,-0.80644367,-0.130114502,0.498896061,1.086663823,0.432558704,0.179066447,-0.177713254,,
0.96894739,0.432575666,-1.210224866,-0.346604271,-0.130114502,0.498896061,0.179066447,-0.177713254,0.697867079,0.849501268,-0.532110285,0.116236592,0.196658943,0.239389457,-0.149948678,0.032755472,0,-0.893133979,-0.80644367,-0.130114502,0.498896061,1.086663823,0.432558704,0.179066447,-0.177713254,,
-0.072296327,-1.221302116,-0.17072884,-0.394060642,0.09963311,-1.740196633,0.110339899,-1.465597163,0.551902712,-0.845648344,0.689070321,-0.773549928,0.155526184,-0.238303703,0.194180016,-0.21798637,1,0.09963311,-1.740196633,0.130829161,0.258199469,0.110339899,-1.465597163,-0.32158659,-0.183559156,,
0.22571325,0.567188189,0.221224435,1.063425127,0.130829161,0.258199469,-0.32158659,-0.183559156,0.039739236,-0.36335392,-0.63536566,0.515261813,0.011198517,-0.102393135,-0.179046043,0.145200779,0,0.09963311,-1.740196633,0.130829161,0.258199469,0.110339899,-1.465597163,-0.32158659,-0.183559156,,
-0.611562454,0.650296927,-0.021249475,-0.394033,-0.248558096,0.362421932,-0.095983884,0.109172893,0.180392847,0.136781937,0.414153109,-0.278227124,0.050834704,0.03854515,0.116708346,-0.078404404,1,-0.248558096,0.362421932,-0.817461608,-1.076434791,-0.095983884,0.109172893,-0.445847953,0.817120856,,
-0.116587073,0.246533586,0.44385608,-0.769692673,-0.817461608,-1.076434791,-0.445847953,0.817120856,-0.538075589,-0.786497157,-1.324241906,-0.010238371,-0.151629701,-0.221634899,-0.373171369,-0.002885173,0,-0.248558096,0.362421932,-0.817461608,-1.076434791,-0.095983884,0.109172893,-0.445847953,0.817120856,,
0.773055568,0.424718762,0.784374671,0.292052504,0.907916049,1.189346597,0.582402968,0.251100142,-0.125445514,0.225628563,0.118159313,-0.197338585,-0.035350546,0.063582129,0.033297294,-0.055610013,1,0.907916049,1.189346597,0.031459963,0.271032942,0.582402968,0.251100142,0.908343051,-0.595853583,,
-0.610694767,-1.077835534,0.054701138,-0.219994323,0.031459963,0.271032942,0.908343051,-0.595853583,-0.148213295,-0.339278562,0.560205772,-0.968985792,-0.041766507,-0.095608699,0.157865987,-0.273060196,0,0.907916049,1.189346597,0.031459963,0.271032942,0.582402968,0.251100142,0.908343051,-0.595853583,,
-0.858510395,1.157383772,-0.787363925,-1.416011459,0.739722315,-1.061014262,0.607086658,0.053733003,0.242003302,0.151947367,-1.273210477,-0.287256091,0.068196531,0.042818768,-0.358790712,-0.080948766,0,0.739722315,-1.061014262,0.207756863,0.239126209,0.607086658,0.053733003,-0.178218021,-1.13669729,,
-0.004843206,-0.463956281,1.083733284,-1.111575156,0.207756863,0.239126209,-0.178218021,-1.13669729,-0.716159927,-0.446705694,0.055743302,1.156906519,-0.201813867,-0.125881665,0.015708463,0.326016257,1,0.739722315,-1.061014262,0.207756863,0.239126209,0.607086658,0.053733003,-0.178218021,-1.13669729,,
-0.544235987,-0.743225565,0.262604477,-1.169412697,0.168963635,0.010198361,-0.810644536,-0.021753713,0.784229027,1.281154558,-0.778274427,0.599379695,0.22099574,0.361029354,-0.219317734,0.168905198,1,0.168963635,0.010198361,-0.45417943,-0.271414554,-0.810644536,-0.021753713,0.673354946,1.24421645,,
-0.159512261,0.261216494,0.790090103,-0.661979175,-0.45417943,-0.271414554,0.673354946,1.24421645,0.077258644,-1.088745232,-0.12628012,-0.090288867,0.021771486,-0.306808406,-0.035585738,-0.025443403,0,0.168963635,0.010198361,-0.45417943,-0.271414554,-0.810644536,-0.021753713,0.673354946,1.24421645,,
-0.770084748,0.069495608,0.023021604,0.445672712,-0.578392682,0.419243685,-0.335108797,0.241190751,0.431060221,0.372302458,0.353731037,0.426586982,0.12147277,0.104914833,0.099681406,0.120212212,1,-0.578392682,0.419243685,0.065827657,0.500415394,-0.335108797,0.241190751,0.708025665,-0.442222158,,
0.390695603,-0.227323251,0.778248949,0.443829622,0.065827657,0.500415394,0.708025665,-0.442222158,0.594116561,0.691420636,0.251523083,0.332095412,0.167422047,0.194842335,0.070879205,0.093584487,0,-0.578392682,0.419243685,0.065827657,0.500415394,-0.335108797,0.241190751,0.708025665,-0.442222158,,
1.091922703,-0.149646286,0.060762487,-0.203662241,1.155480378,-0.217928462,-0.248065915,-0.708493226,-0.644485314,0.10481022,-1.177545328,-0.132698173,-0.181615961,0.02953552,-0.331832273,-0.037394345,1,1.155480378,-0.217928462,-0.174085282,-0.780173494,-0.248065915,-0.708493226,-0.042586643,-0.675046477,,
-1.054713623,0.241903601,-0.524886663,0.692767516,-0.174085282,-0.780173494,-0.042586643,-0.675046477,-0.356360213,-1.27135903,0.507874304,-0.585403928,-0.100422308,-0.358268975,0.143118979,-0.164966827,0,1.155480378,-0.217928462,-0.174085282,-0.780173494,-0.248065915,-0.708493226,-0.042586643,-0.675046477,,
-0.750651642,-0.242309974,1.662024242,1.164778201,0.820674682,-0.098989814,-0.226320187,-1.482783554,1.062850495,0.625591839,1.022279544,0.716961597,0.299511269,0.17629178,0.288078375,0.202039778,0,0.820674682,-0.098989814,1.055615269,-1.081224621,-0.226320187,-1.482783554,-1.510788049,-0.70068525,,
