ymod1real,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,Target
0.456829805,1.312796863,-0.603441329,-1.273877706,-0.907391207,0.710084967,-1.483466208,0.599429907,1
0.456829805,1.312796863,-0.603441329,-1.273877706,-0.907391207,0.710084967,-1.483466208,0.599429907,0
-0.532445621,-1.021278178,-0.546165604,-1.882792759,-0.877460092,-1.066574599,-0.230535126,-0.108200692,1
-0.532445621,-1.021278178,-0.546165604,-1.882792759,-0.877460092,-1.066574599,-0.230535126,-0.108200692,1
-0.359283055,0.494544041,-0.042999976,0.161044856,-1.176909988,-0.879058959,-0.501340371,-0.298471946,1
-0.359283055,0.494544041,-0.042999976,0.161044856,-1.176909988,-0.879058959,-0.501340371,-0.298471946,0
1.900037736,-0.991196226,-0.479328623,-0.351422444,0.346822287,-1.179706429,-0.43331991,-1.029202002,1
1.900037736,-0.991196226,-0.479328623,-0.351422444,0.346822287,-1.179706429,-0.43331991,-1.029202002,0
-0.422708364,-0.221651381,-0.477596396,0.779590179,1.298930541,0.226329703,0.310002318,0.695438977,0
-0.422708364,-0.221651381,-0.477596396,0.779590179,1.298930541,0.226329703,0.310002318,0.695438977,1
0.59541595,0.366358764,0.569136397,0.478860582,-0.555830747,1.959295347,-1.864283975,-0.232031006,1
0.59541595,0.366358764,0.569136397,0.478860582,-0.555830747,1.959295347,-1.864283975,-0.232031006,0
2.567406164,-0.362682817,-1.195586046,0.185127278,-0.59772689,-0.704252156,-0.839835643,0.741954115,1
2.567406164,-0.362682817,-1.195586046,0.185127278,-0.59772689,-0.704252156,-0.839835643,0.741954115,1
-0.462179515,1.15913011,-0.829152018,0.847773495,0.369743261,0.969142154,-0.420792566,-0.089543169,0
-0.462179515,1.15913011,-0.829152018,0.847773495,0.369743261,0.969142154,-0.420792566,-0.089543169,0
-0.049826473,0.759679564,0.758061565,0.48039895,1.382006596,-0.991619727,-0.924203255,0.257159054,0
-0.049826473,0.759679564,0.758061565,0.48039895,1.382006596,-0.991619727,-0.924203255,0.257159054,0
-0.666021906,-0.924742145,-0.960777908,-1.932818799,0.781074973,-0.97104381,0.871402312,0.344530007,1
-0.666021906,-0.924742145,-0.960777908,-1.932818799,0.781074973,-0.97104381,0.871402312,0.344530007,0
-0.731191836,-0.025728872,-0.64593181,0.062718114,1.202280021,-0.180724349,1.214334577,-0.237709554,1
-0.731191836,-0.025728872,-0.64593181,0.062718114,1.202280021,-0.180724349,1.214334577,-0.237709554,0
-0.71673073,1.608874507,0.317478855,0.836564759,0.115417822,-1.139302359,0.660265656,1.645669747,0
-0.71673073,1.608874507,0.317478855,0.836564759,0.115417822,-1.139302359,0.660265656,1.645669747,1
0.334063059,0.266821007,0.674035948,0.544540756,-0.065120503,-0.210207789,0.797618141,1.040384507,0
