h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,target,ymod 1 real,ymod 1 imag,ymod 2 real ,ymod 2 imag,ymod 3 real,ymod 3 imag,ymod 4 real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.207798507,-0.101851481,-0.556693009,-0.283472749,1.548451718,1.38159342,-1.214585803,0.078643034,0.262764137,-1.12542914,-0.048889414,-1.39167226,1,1.548451718,1.38159342,-1.080354672,0.912484928,-1.214585803,0.078643034,-0.989464425,0.639597901,,
0.628190576,0.930203492,-0.811101051,-0.476237641,-1.080354672,0.912484928,-0.989464425,0.639597901,0.416005846,0.608416651,-0.576355013,-0.19974776,0,1.548451718,1.38159342,-1.080354672,0.912484928,-1.214585803,0.078643034,-0.989464425,0.639597901,,
-0.755805549,-0.024853075,-0.572402016,-0.872533927,2.374452779,0.63967101,0.860839316,-0.200227557,-0.980197737,-0.201709535,0.821691962,0.645898217,1,2.374452779,0.63967101,1.771662218,-0.738990618,0.860839316,-0.200227557,0.386291834,1.822772328,,
-2.081923297,0.226517746,1.017088459,0.364109664,1.771662218,-0.738990618,0.386291834,1.822772328,-1.281110001,-1.148231324,0.824654306,-0.03686068,1,2.374452779,0.63967101,1.771662218,-0.738990618,0.860839316,-0.200227557,0.386291834,1.822772328,,
0.229944436,0.402613583,-0.533814934,-0.002840218,-2.935708091,1.868215579,-1.900389476,1.92448987,-0.080715105,-0.383887292,-0.260622044,0.329807055,1,-2.935708091,1.868215579,1.008066974,2.717245074,-1.900389476,1.92448987,-0.267374907,2.695374421,,
0.96894739,0.432575666,-1.210224866,-0.346604271,1.008066974,2.717245074,-0.267374907,2.695374421,0.697867079,0.849501268,-0.532110285,0.116236592,1,-2.935708091,1.868215579,1.008066974,2.717245074,-1.900389476,1.92448987,-0.267374907,2.695374421,,
-0.072296327,-1.221302116,-0.17072884,-0.394060642,-1.100398265,-0.769881091,-1.989743838,1.387112524,0.551902712,-0.845648344,0.689070321,-0.773549928,1,-1.100398265,-0.769881091,0.505377204,0.306535584,-1.989743838,1.387112524,0.186674526,-0.288259259,,
0.22571325,0.567188189,0.221224435,1.063425127,0.505377204,0.306535584,0.186674526,-0.288259259,0.039739236,-0.36335392,-0.63536566,0.515261813,0,-1.100398265,-0.769881091,0.505377204,0.306535584,-1.989743838,1.387112524,0.186674526,-0.288259259,,
-0.611562454,0.650296927,-0.021249475,-0.394033,-0.917762101,-2.144209976,0.062160592,1.564521013,0.180392847,0.136781937,0.414153109,-0.278227124,0,-0.917762101,-2.144209976,0.74731022,-2.25857673,0.062160592,1.564521013,-0.447867222,1.165412649,,
-0.116587073,0.246533586,0.44385608,-0.769692673,0.74731022,-2.25857673,-0.447867222,1.165412649,-0.538075589,-0.786497157,-1.324241906,-0.010238371,0,-0.917762101,-2.144209976,0.74731022,-2.25857673,0.062160592,1.564521013,-0.447867222,1.165412649,,
