Target,Y1,Y2(imagnary),Y3,Y4(imagnary
0,0.130455174,3.016435582,-0.973301278,0.875318882
0,0.082915005,0.978304062,-1.151661439,1.156588617
0,-1.68786689,-0.96675349,-0.320558523,-2.789183353
1,0.22562994,0.304964499,-2.05382605,-0.060512766
1,0.320109608,2.531546086,-0.192056549,0.172310169
1,0.668158799,-0.885127453,0.202764253,0.213471716
0,0.138706906,-0.124452751,-0.222247739,-0.259096577
1,0.157622398,0.054055006,1.006121812,0.810037856
1,-0.652375326,-0.180212373,0.766277522,0.379216979
0,-0.995734758,-0.772430873,-1.383670088,0.984985062
1,1.721357631,-0.774121273,0.921601345,1.087143328
0,-0.782264778,-0.592340399,0.909670036,-1.574948473
0,1.83291288,-1.092725616,-2.159178939,0.483402854
0,-0.44417742,0.79883917,0.867250759,0.756419711
0,0.879297753,-0.925197455,0.47313756,-0.183118254
0,-0.235394919,0.224728066,0.492115631,-0.941516359
0,0.079201537,-0.707561037,-1.789329451,2.883935381
0,-0.825994255,-0.638459584,0.192232365,-1.072173006
0,1.02996837,-0.978823067,2.287948994,-1.28618386
1,0.823465713,0.000441637,0.280357333,-1.467793418
1,-0.905052482,-0.559255736,0.72700294,0.22294076
0,0.01695902,-1.054869441,0.327778615,0.905464157
0,-1.560526366,-0.053211861,0.214717275,0.999256458
0,0.963793754,-1.442920213,-1.545458368,-0.696348166
1,0.648861336,0.515841982,-0.374268559,-1.002430171
0,-0.420300871,0.212581719,0.231849349,1.087180099
0,-2.757864504,0.138039633,-0.149287056,-0.509148083
1,-0.072052762,-0.328759401,-1.150278205,0.581151732
0,-0.742335292,1.143554734,0.29565298,0.378952801
0,-0.42453948,1.106664195,1.464565017,0.596733821
0,-0.579192983,-0.768214107,0.912623266,-1.756369615
0,-0.697185702,1.081314682,1.633816516,0.749268146
0,-0.209688683,0.485855116,0.543685706,-0.391894337
1,0.70852844,1.87015088,0.033163009,0.725035307
1,1.394876373,2.283756983,0.630434474,0.848432322
1,-0.847523646,0.743056295,-0.168532373,-0.210550343
0,-0.162887874,1.373074314,-0.647040342,0.577915318
0,0.403112535,-2.064983902,-0.879262558,-0.912308002
0,-0.120529752,-0.006071208,-0.217499119,-0.33674894
1,-1.090475651,-1.735081269,-0.194313526,1.872736117
0,0.646972539,0.081606961,-0.965805185,-0.342455958
0,-0.415112252,0.412903211,0.961241617,0.150932476
0,-0.494048379,-1.665251498,-1.014573014,-0.898360281
1,-0.448290176,0.701439743,0.554862769,0.076372266
1,1.156488433,2.042872653,1.481831334,-0.046784549
1,-1.176140757,-0.005860491,-1.219718129,-0.270694845
0,0.479728559,0.308615398,0.599147376,-0.597653697
1,-0.156465587,-0.667646411,-0.401897041,0.834497317
0,1.155981895,-0.608619535,-0.212576689,-1.157727024
1,-1.597633944,2.130850929,-0.868137039,-0.82341681
0,-0.095596986,1.930296947,0.600794349,-0.38179304
1,-1.120105317,0.017777235,0.421306984,0.334655967
0,0.454293059,0.610214446,0.183290062,-0.904148629
0,-0.175602512,1.027992777,-0.075100552,-1.938052829
1,0.623730717,-0.302967936,-0.608761361,-0.363015888
1,-0.484600209,-0.669871297,0.044520392,1.91536025
0,-0.314139995,1.336383947,-0.006694375,-0.969541551
1,1.693093878,0.911968525,0.27262353,-1.297163157
1,1.123102885,-0.581300074,-0.897400219,0.328184599
0,-0.332530213,-1.096637607,0.037147096,-0.512597636
